"V1" "V2" "V3" "V4"
1 1 1 0.01
2 1 1 0.01
3 1 1 0.01
4 1 1 0.01
5 1 1 0.01
6 1 1 0.01
7 1 1 0.01
8 1 1 0.01
9 1 1 0.01
10 1 1 0.01
11 1 1 0.01
12 1 1 0.01
13 1 1 0.01
14 1 1 0.01
15 1 1 0.01
16 1 1 0.01
17 1 1 0.01
18 1 1 0.01
19 1 1 0.01
20 1 1 0.01
21 1 1 0.01
22 1 1 0.01
23 1 1 0.01
24 1 1 0.01
25 1 1 0.01
26 1 1 0.01
27 1 1 0.01
28 1 1 0.01
29 1 1 0.01
30 1 1 0.01
31 1 1 0.01
32 1 1 0.01
33 1 1 0.01
34 1 1 0.01
35 1 1 0.01
36 1 1 0.01
37 1 1 0.01
38 1 1 0.01
39 1 1 0.01
40 1 1 0.01
41 1 1 0.01
42 1 1 0.01
43 1 1 0.01
44 1 1 0.01
45 1 1 0.01
46 1 1 0.01
47 1 1 0.01
48 1 1 0.01
49 1 1 0.01
50 1 1 0.01
51 1 1 0.01
52 1 1 0.01
53 1 1 0.01
54 1 1 0.01
55 1 1 0.01
56 1 1 0.01
57 1 1 0.01
58 1 1 0.01
59 1 1 0.01
60 1 1 0.01
61 1 1 0.01
62 1 1 0.01
63 1 1 0.01
64 1 1 0.01
65 1 1 0.01
66 1 1 0.01
67 1 1 0.01
68 1 1 0.01
69 1 1 0.01
70 1 1 0.01
71 1 1 0.01
72 1 1 0.01
73 1 1 0.01
74 1 1 0.01
75 1 1 0.01
76 1 1 0.01
77 1 1 0.01
78 1 1 0.01
79 1 1 0.01
80 1 1 0.01
81 1 1 0.01
82 1 1 0.01
83 1 1 0.01
84 1 1 0.01
85 1 1 0.01
86 1 1 0.01
87 1 1 0.01
88 1 1 0.01
89 1 1 0.01
90 1 1 0.01
91 1 1 0.01
92 1 1 0.01
93 1 1 0.01
94 1 1 0.01
95 1 1 0.01
96 1 1 0.01
97 1 1 0.01
98 1 1 0.01
99 1 1 0.01
100 1 1 0.01
101 1 1 0.01
102 1 1 0.01
103 1 1 0.01
104 1 1 0.01
105 1 1 0.01
106 1 1 0.01
107 1 1 0.01
108 1 1 0.01
109 1 1 0.01
110 1 1 0.01
111 1 1 0.01
112 1 1 0.01
113 1 1 0.01
114 1 1 0.01
115 1 1 0.01
116 1 1 0.01
117 1 1 0.01
118 1 1 0.01
119 1 1 0.01
120 1 1 0.01
121 1 1 0.01
122 1 1 0.01
123 1 1 0.01
124 1 1 0.01
125 1 1 0.01
126 1 1 0.01
127 1 1 0.01
128 1 1 0.01
129 1 1 0.01
130 1 1 0.01
131 1 1 0.01
132 1 1 0.01
133 1 1 0.01
134 1 1 0.01
135 1 1 0.01
136 1 1 0.01
137 1 1 0.01
138 1 1 0.01
139 1 1 0.01
140 1 1 0.01
141 1 1 0.01
142 1 1 0.01
143 1 1 0.01
144 1 1 0.01
145 1 1 0.01
146 1 1 0.01
147 1 1 0.01
148 1 1 0.01
149 1 1 0.01
150 1 1 0.01
151 1 1 0.01
152 1 1 0.01
153 1 1 0.01
154 1 1 0.01
155 1 1 0.01
156 1 1 0.01
157 1 1 0.01
158 1 1 0.01
159 1 1 0.01
160 1 1 0.01
161 1 1 0.01
162 1 1 0.01
163 1 1 0.01
164 1 1 0.01
165 1 1 0.01
166 1 1 0.01
167 1 1 0.01
168 1 1 0.01
169 1 1 0.01
170 1 1 0.01
171 1 1 0.01
172 1 1 0.01
173 1 1 0.01
174 1 1 0.01
175 1 1 0.01
176 1 1 0.01
177 1 1 0.01
178 1 1 0.01
179 1 1 0.01
180 1 1 0.01
181 1 1 0.01
182 1 1 0.01
183 1 1 0.01
184 1 1 0.01
185 1 1 0.01
186 1 1 0.01
187 1 1 0.01
188 1 1 0.01
189 1 1 0.01
190 1 1 0.01
191 1 1 0.01
192 1 1 0.01
193 1 1 0.01
194 1 1 0.01
195 1 1 0.01
196 1 1 0.01
197 1 1 0.01
198 1 1 0.01
199 1 1 0.01
200 1 1 0.01
201 1 1 0.01
202 1 1 0.01
203 1 1 0.01
204 1 1 0.01
205 1 1 0.01
206 1 1 0.01
207 1 1 0.01
208 1 1 0.01
209 1 1 0.01
210 1 1 0.01
211 1 1 0.01
212 1 1 0.01
213 1 1 0.01
214 1 1 0.01
215 1 1 0.01
216 1 1 0.01
217 1 1 0.01
218 1 1 0.01
219 1 1 0.01
220 1 1 0.01
221 1 1 0.01
222 1 1 0.01
223 1 1 0.01
224 1 1 0.01
225 1 1 0.01
226 1 1 0.01
227 1 1 0.01
228 1 1 0.01
229 1 1 0.01
230 1 1 0.01
231 1 1 0.01
232 1 1 0.01
233 1 1 0.01
234 1 1 0.01
235 1 1 0.01
236 1 1 0.01
237 1 1 0.01
238 1 1 0.01
239 1 1 0.01
240 1 1 0.01
241 1 1 0.01
242 1 1 0.01
243 1 1 0.01
244 1 1 0.01
245 1 1 0.01
246 1 1 0.01
247 1 1 0.01
248 1 1 0.01
249 1 1 0.01
250 1 1 0.01
251 1 1 0.01
252 1 1 0.01
253 1 1 0.01
254 1 1 0.01
255 1 1 0.01
256 1 1 0.01
257 1 1 0.01
258 1 1 0.01
259 1 1 0.01
260 1 1 0.01
261 1 1 0.01
262 1 1 0.01
263 1 1 0.01
264 1 1 0.01
265 1 1 0.01
266 1 1 0.01
267 1 1 0.01
268 1 1 0.01
269 1 1 0.01
